"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"93",9,"Ross Dwelley",SF,"9","5.0","-","-1.2","16% (2/12)"
"94",9,"Jesper Horsted",LV,"13","8.2","-","-1.2","7% (1/13)"
"95",9,"Cameron Brate",FA,"-","-","-","-0.9","30% (3/10)"
"96",9,"Devin Asiasi",CIN,"7","6.2","-","-1.2","7% (1/13)"
"97",9,"Parker Hesse",ATL,"11","2.0","-","-1.2","13% (2/15)"
"98",9,"Shane Zylstra",DET,"9","5.0","-","+1.2","23% (3/13)"
"99",9,"Connor Heyward",PIT,"6","6.2","-","-0.2","25% (2/8)"
"100",9,"Giovanni Ricci",CAR,"7","4.8","-","-0.1","30% (4/13)"
"101",9,"Luke Farrell",JAC,"9","-","-","-","-"
"102",9,"Tyler Kroft",MIA,"10","-","-","-","-"
"103",9,"Trevon Wesco",TEN,"7","-","-","-","-"
"104",9,"Kendall Blanton",KC,"10","-","-","-","-"
"105",9,"MyCole Pruitt",ATL,"11","-","-","+0.6","38% (5/13)"
"106",9,"Armani Rogers",WAS,"14","-","-","-","-"
"107",9,"Mitchell Wilcox",CIN,"7","-","-","+0.2","46% (7/15)"
"108",9,"Charlie Woerner",SF,"9","-","-","-","-"
"109",9,"Tyree Jackson",PHI,"10","-","-","-","-"
"110",9,"Tanner Hudson",CIN,"7","5.8","-","-0.7","33% (4/12)"
"111",9,"Pharaoh Brown",IND,"11","5.4","-","-0.5","23% (3/13)"
"112",9,"Jacob Hollister",LV,"13","-","-","-1.3","0% (0/7)"
"113",9,"Geoff Swaim",ARI,"14","-","-","-1.3","13% (2/15)"
"114",9,"Tommy Sweeney",NYG,"13","1.0","-","-1.1","20% (1/5)"
"115",10,"Kevin Rader",TEN,"7","-","-","-","-"
"116",10,"Tyler Davis",GB,"6","-","-","-","-"
"117",10,"Noah Togiai",ARI,"14","-","-","-","-"
"118",10,"Marcedes Lewis",CHI,"13","-","-","-","-"
"119",10,"Davis Allen",LAR,"10","-","-","-","-"
"120",10,"Andrew Beck",HOU,"7","4.4","-","-0.6","9% (1/11)"
"121",10,"Chris Myarick",NYG,"13","1.0","-","-1.0","20% (3/15)"
"122",10,"Sean McKeon",DAL,"7","-","-","-","-"
"123",10,"Blake Bell",KC,"10","-","-","-","-"
"124",10,"Brayden Willis",SF,"9","-","-","-","-"
"125",10,"Stephen Sullivan",CAR,"7","-","-","-","-"
"126",10,"Kyle Rudolph",FA,"-","-","-","-","-"
"127",10,"Jake Tonges",FA,"-","-","-","-","-"
"128",10,"Nick Boyle",FA,"-","-","-","-1.2","0% (0/12)"
"129",10,"Chase Allen",FA,"-","-","-","-","-"
"130",10,"Stone Smartt",LAC,"5","-","-","-","-"
"131",10,"Tyler Mabry",SEA,"5","-","-","-","-"
"132",11,"Travis Vokolek",BAL,"13","-","-","-","-"
"133",11,"Andrew Ogletree",IND,"11","-","-","-","-"
"134",11,"Jacob Harris",JAC,"9","-","-","-","-"
"135",11,"Kenny Yeboah",NYJ,"7","-","-","-","-"
"136",11,"David Wells",TB,"5","-","-","-","-"
"137",11,"Mason Schreck",HOU,"7","-","-","-","-"
