"RK","TIERS","PLAYER NAME","TEAM","POS","BYE WEEK","SOS SEASON","ECR VS. ADP","OVERALL RK","OVERALL TIER"
"80","12","DJ Giddens","IND","RB80","13","4 out of 5 stars","+19","284","12"
"81","12","Trey Benson","FA","RB81","-","-","+34","289","12"
"82","12","Brashard Smith","KC","RB82","5","3 out of 5 stars","+32","290","12"
"83","12","Malik Davis","DAL","RB83","14","4 out of 5 stars","+36","291","12"
"84","12","Devin Neal","NO","RB84","8","3 out of 5 stars","+51","292","12"
"85","12","Seth McGowan","IND","RB85","13","4 out of 5 stars","+255","293","12"
"86","12","Kendre Miller","NO","RB86","8","3 out of 5 stars","+27","294","12"
"87","12","Devin Singletary","NYG","RB87","8","4 out of 5 stars","+10","296","12"
"88","12","Adam Randall","BAL","RB88","13","3 out of 5 stars","+36","297","12"
"89","12","Emari Demercado","KC","RB89","5","3 out of 5 stars","+72","299","12"
"90","12","Kaleb Johnson","PIT","RB90","9","2 out of 5 stars","-29","302","12"
"91","13","Trevor Etienne","CAR","RB91","5","1 out of 5 stars","+257","305","13"
"92","13","Isaac Guerendo","SF","RB92","8","2 out of 5 stars","+235","307","13"
"93","13","Jerome Ford","WAS","RB93","7","4 out of 5 stars","+289","313","13"
"94","13","Tahj Brooks","CIN","RB94","6","2 out of 5 stars","+124","314","13"
"95","13","Jarquez Hunter","LAR","RB95","11","5 out of 5 stars","+69","316","13"
"96","13","Audric Estime","NO","RB96","8","3 out of 5 stars","+57","319","13"
"97","13","Jaleel McLaughlin","DEN","RB97","10","2 out of 5 stars","+295","320","13"
"98","13","Will Shipley","PHI","RB98","10","4 out of 5 stars","+147","321","13"
"99","13","Kareem Hunt","FA","RB99","-","-","+4","335","13"
"100","13","Joe Mixon","FA","RB100","-","-","-42","336","13"
"101","13","Bam Knight","ARI","RB101","14","2 out of 5 stars","-","345","13"
"102","14","Eli Heidenreich","PIT","RB102","9","2 out of 5 stars","-","363","14"
"103","14","Michael Carter","TEN","RB103","9","3 out of 5 stars","+283","377","14"
"104","14","Jawhar Jordan","HOU","RB104","8","4 out of 5 stars","+182","378","14"
"105","14","Raheim Sanders","CLE","RB105","11","3 out of 5 stars","+143","380","14"
"106","14","Phil Mafah","DAL","RB106","14","4 out of 5 stars","-","387","14"
"107","14","Roschon Johnson","CHI","RB107","10","2 out of 5 stars","+187","394","14"
"108","14","Kyle Juszczyk","SF","RB108","8","2 out of 5 stars","-25","398","14"
"109","14","J'Mari Taylor","JAC","RB109","7","4 out of 5 stars","-","408","14"
"110","14","Jam Miller","NE","RB110","11","2 out of 5 stars","-","411","14"
"111","14","Rasheen Ali","BAL","RB111","13","3 out of 5 stars","-","418","14"
"112","14","Sione Vaki","DET","RB112","6","5 out of 5 stars","-","422","14"
"113","15","Austin Ekeler","FA","RB113","-","-","+167","426","15"
"114","15","Dameon Pierce","PHI","RB114","10","4 out of 5 stars","-","430","15"
"115","15","Hunter Luepke","DAL","RB115","14","4 out of 5 stars","+38","431","15"
"116","15","Tyler Goodson","ATL","RB116","11","2 out of 5 stars","-","434","15"
"117","15","Jeremy McNichols","WAS","RB117","7","4 out of 5 stars","-","437","15"
"118","15","Dylan Laube","LV","RB118","13","2 out of 5 stars","-","439","15"
"119","15","Khalil Herbert","SF","RB119","8","2 out of 5 stars","-","440","15"
"120","15","Ronnie Rivers","LAR","RB120","11","5 out of 5 stars","+137","443","15"
"121","15","Damien Martinez","GB","RB121","11","4 out of 5 stars","-","444","15"
"122","15","Zavier Scott","MIN","RB122","6","4 out of 5 stars","-","445","15"
"123","15","Ty Chandler","NO","RB123","8","3 out of 5 stars","+220","446","15"
"124","15","Reggie Gilliam","NE","RB124","11","2 out of 5 stars","+103","450","15"
"125","15","Roman Hemby","LV","RB125","13","2 out of 5 stars","-","453","15"
"126","15","Terrell Jennings","FA","RB126","-","-","-","456","15"
"127","15","Alec Ingold","LAC","RB127","7","3 out of 5 stars","+168","457","15"
"128","15","Patrick Ricard","NYG","RB128","8","4 out of 5 stars","+99","458","15"
"129","15","Robert Henry Jr.","WAS","RB129","7","4 out of 5 stars","-","459","15"
"130","15","Tyler Badie","DEN","RB130","10","2 out of 5 stars","-","466","15"
"131","15","Max Bredeson","MIN","RB131","6","4 out of 5 stars","+70","467","15"
"132","15","Adam Prentice","DEN","RB132","10","2 out of 5 stars","+157","471","15"
"133","15","Antonio Gibson","FA","RB133","-","-","+124","479","15"
"134","15","Jacob Saylors","DET","RB134","6","5 out of 5 stars","+128","484","15"
"135","15","Travis Homer","PIT","RB135","9","2 out of 5 stars","+164","489","15"
"136","15","British Brooks","HOU","RB136","8","4 out of 5 stars","+152","490","15"
"137","16","Frank Gore Jr.","BUF","RB137","7","2 out of 5 stars","+89","495","16"
"138","16","Kene Nwangwu","NYJ","RB138","13","3 out of 5 stars","-","499","16"
"139","16","Jaret Patterson","LAC","RB139","7","3 out of 5 stars","-","504","16"
"140","16","Michael Burton","CLE","RB140","11","3 out of 5 stars","+122","507","16"
"141","16","Miles Davis","CAR","RB141","5","1 out of 5 stars","-","512","16"
"142","16","Noah Whittington","HOU","RB142","8","4 out of 5 stars","-","515","16"
"143","16","Miles Sanders","FA","RB143","-","-","-","516","16"
"144","16","Elijah Mitchell","FA","RB144","-","-","-","519","16"
"145","16","Jaydn Ott","KC","RB145","5","3 out of 5 stars","-","521","16"
